Country,City
France,Paris
Spain,Barcelona
Spain,Bunol
Scotland,Edinburgh
Japan,Tokyo
India,Chennai
Mexico,Mexico City
Ireland,Dublin
Turkey,Mugla
India,Mumbai
Australia,Sydney
Germany,Munich
Thailand,Chiang Mai
Brazil,Rio de Janeiro
India,Kolkata
USA,New York City
Turkey,Antalya
Turkey,Istanbul
Italy,Rome
UAE,Dubai
China,Guangzhou
Thailand,Phuket
Saudi Arabia,Mecca
Thailand,Pattaya
Taiwan,Taipei City
Czech Republic,Prague
China,Shanghai
USA,Las Vegas
USA,Miami
Italy,Milan
